Team,Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA
Arizona Diamondbacks,51,28.6,5.47,162,6284,5522,886,1452,271,37,211,845,119,30,569,1265,0.263
Atlanta Braves,55,29.3,4.35,162,6075,5481,704,1333,273,15,213,674,69,20,485,1461,0.243
Baltimore Orioles,60,26.9,4.85,162,6176,5567,786,1391,262,33,235,759,98,25,489,1359,0.25
Boston Red Sox,57,27.3,4.64,162,6192,5577,751,1404,311,30,194,724,144,44,493,1570,0.252
Chicago Cubs,56,27.8,4.54,162,6116,5441,736,1318,253,29,170,696,143,30,546,1362,0.242
Chicago White Sox,63,27.8,3.13,162,5869,5383,507,1187,226,9,133,485,90,33,395,1403,0.221
Cincinnati Reds,61,27.1,4.31,162,5970,5325,699,1230,257,29,174,663,207,45,496,1459,0.231
Cleveland Guardians,50,26.1,4.4,161,5927,5310,708,1263,245,18,185,670,148,46,466,1196,0.238
Colorado Rockies,54,27.9,4.21,162,6026,5454,682,1319,277,25,179,655,85,31,453,1617,0.242
Detroit Tigers,48,26.7,4.21,162,6021,5442,682,1273,244,47,162,656,76,24,476,1461,0.234
Houston Astros,55,28.8,4.6,161,6107,5530,740,1448,264,16,190,701,93,24,448,1176,0.262
Kansas City Royals,50,28,4.54,162,5982,5421,735,1343,264,35,170,711,134,31,429,1161,0.248
Los Angeles Angels,64,27.3,3.92,162,5975,5357,635,1227,227,15,165,596,133,50,482,1416,0.229
Los Angeles Dodgers,60,30.3,5.2,162,6255,5522,842,1423,291,26,233,815,136,23,602,1336,0.258
Miami Marlins,70,27.2,3.93,162,6048,5522,637,1347,243,23,150,611,125,43,403,1410,0.244
Milwaukee Brewers,56,26.3,4.8,162,6170,5472,777,1359,249,33,177,742,217,42,597,1459,0.248
Minnesota Twins,52,28.7,4.58,162,6123,5490,742,1352,309,23,183,702,65,23,473,1306,0.246
New York Mets,59,30,4.74,162,6166,5510,768,1357,279,15,207,735,106,22,514,1382,0.246
New York Yankees,54,28,5.03,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,0.248
Oakland Athletics,55,26.5,3.97,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,0.233
Philadelphia Phillies,47,29.1,4.84,162,6166,5534,784,1423,285,24,198,750,148,30,515,1370,0.257
Pittsburgh Pirates,56,28.5,4.1,162,6086,5477,665,1283,236,17,160,643,106,19,485,1506,0.234
San Diego Padres,49,29,4.69,162,6103,5526,760,1456,259,18,190,726,120,28,458,1077,0.263
Seattle Mariners,50,28.9,4.17,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,0.224
San Francisco Giants,58,28.6,4.28,162,6062,5460,693,1303,266,30,177,661,68,22,492,1452,0.239
St. Louis Cardinals,44,27.6,4.15,162,6114,5507,672,1363,257,21,165,639,91,29,478,1318,0.248
Tampa Bay Rays,54,27.2,3.73,162,6006,5389,604,1241,245,23,147,564,178,53,493,1485,0.23
Texas Rangers,57,28.1,4.22,162,6053,5472,683,1302,220,15,176,652,97,25,490,1284,0.238
Toronto Blue Jays,56,28,4.14,162,6060,5410,671,1306,280,26,156,640,72,16,510,1233,0.241
Washington Nationals,50,26.3,4.07,162,5971,5374,660,1306,267,18,135,621,223,73,456,1220,0.243
